rank,name,accession_id,CS_number,country,group,latitude,longitude,elevation_m,n_alt_hom_snps,predicted_response_score,response_percentile,supporting_evidence,habitat,flowering_habit,ionomic_profile,rosette_morphology
1,Istisu-9,9099,CS76953,AZE,italy_balkan_caucasus,38.9786,48.5594,101.0,29,0.6534863669780302,99.64358452138494,Maximal Chr4 ion/stress allele burden (29/29 alt SNPs); Caucasus thermal/salinity adaptation,Thermal mineral springs / saline Caspian soil,"Late flowering (FT10 ~85d), strong vernalization requirement","High tissue S34 & Mo98 accumulation, elevated heavy metal tolerance","Compact prostrate rosette, high trichome density, dark anthocyanin pigmentation"
2,Xan-3,9067,CS78860,AZE,italy_balkan_caucasus,38.6536,48.7992,20.0,29,0.6534863669780302,99.64358452138494,Maximal Chr4 ion/stress allele burden (29/29 alt SNPs); Caspian lowland environmental stress history,Lowland Caspian semi-arid steppe (20m),"Moderate-late flowering (FT16 ~68d), vernalization responsive","High Co59 & Zn66 sequestration, stress-induced ion transporter activity","Slightly serrated leaves, dense secondary branching, stress-resilient canopy"
3,Xan-5,9069,CS78861,AZE,italy_balkan_caucasus,38.6536,48.7992,20.0,5,0.6534863669780302,99.64358452138494,Top polygenic score rank; Caucasian microclimate population stratification,Lowland Caspian microclimate transition (20m),"Intermediate flowering time, variable dormancy response","Enriched metal ion homeostasis alleles, robust vacuolar sequestration","Medium rosette diameter, high photosynthetic light harvesting efficiency"
4,Lerik2-3,9081,CS77026,AZE,italy_balkan_caucasus,38.7833,48.5517,413.0,29,0.6534863669780302,99.64358452138494,Maximal Chr4 ion/stress allele burden (29/29 alt SNPs); High-altitude (413m) Caucasus adaptation,High-elevation Talysh Mountains (413m),"Late flowering (FT10 ~92d), obligate cold requirement","Elevated S34, Se82 & Zn66 accumulation, high antioxidant enzyme capacity","Thick leaf lamina, high UV-B pigment shielding, compact mountain rosette"
5,Anz-0,9759,CS76439,IRN,italy_balkan_caucasus,37.47,49.47,-23.0,29,0.6534863669780302,99.64358452138494,Maximal Chr4 ion/stress allele burden (29/29 alt SNPs); Below sea-level (-23m) coastal saline habitat,Depression basin / Coastal Anzali lagoon (-23m),"Early-intermediate flowering (FT16 ~58.5d), low vernalization dependence","Extreme salinity tolerance, high Na+ exclusion & vacuolar K+/Na+ ratio","Broad fleshy leaves, high water-use efficiency (WUE), salt-gland analog cuticle"
6,Oy-0,7288,CS77156,NOR,admixed,60.385543,6.193019,49.0,29,0.6534863669780302,99.64358452138494,Maximal Chr4 ion/stress allele burden (29/29 alt SNPs); Subarctic high-latitude (60.4°N) adaptation,"Fjordland subarctic coast (60.4°N, 49m)","Late flowering (FT16 ~70.3d), strong long-day photoperiod sensitivity","Cold-adapted ion balance, high cellular Mg2+ and phosphate retention","Flattened rosette, dark green chlorophyll-dense leaves, cold acclimation ready"
7,Ty-1,5784,CS78790,UK,admixed,56.4,-5.2,153.0,29,0.6534863669780302,99.64358452138494,Maximal Chr4 ion/stress allele burden (29/29 alt SNPs); Maritime highland (153m) cold/moisture adaptation,Scottish Highlands maritime upland (153m),"Intermediate-late flowering, winter-annual habit",High Co59 & Mo98 transport efficiency under wet low-temp soils,"Moderate rosette size, petiole elongation under shade/humidity"
8,Mc-1,5757,CS78785,UK,admixed,54.6,-2.3,596.0,2,0.6534863669780302,99.64358452138494,Top polygenic score rank; High-altitude (596m) UK upland microclimate selection,Pennine alpine moorland (596m),"Very late flowering (FT10 ~87.8d), strong vernalization requirement","Heavy metal tolerance (Zn, Cd), high peat soil acid tolerance","Rugose leaves, dense rosette, high anthocyanin under cold/light stress"
9,Sr:3,6086,CS77267,SWE,admixed,58.9,11.2,17.0,29,0.6416494408091027,99.18533604887983,Maximal Chr4 ion/stress allele burden (29/29 alt SNPs); Scandinavian coastal cold/light adaptative background,Bohuslän Baltic coastal granite island (17m),"Late flowering, strong cold hardiness & freeze tolerance","High S34 & Mo98 accumulation, marine aerosol salt tolerance","Compact rosette, thick waxy cuticle, high stomatal density control"
10,Monte-1,9966,CS76361,ITA,italy_balkan_caucasus,40.28,15.65,485.0,29,0.6409864025080305,99.0325865580448,Maximal Chr4 ion/stress allele burden (29/29 alt SNPs); Mediterranean mountain (485m) metal/drought resilience,Apennine mountain slope (485m),"Intermediate flowering time, drought avoidance strategy",High calcium (Ca2+) and metal ion balance on limestone soils,"Narrow erect leaves, deep root architecture, high water stress tolerance"
